Word,Occurrence,% Frequency
raised,106,0.018844410943269434
late,106,0.018844410943269434
children,106,0.018844410943269434
meet,106,0.018844410943269434
attack,106,0.018844410943269434
campaign,105,0.018666633481540476
running,105,0.018666633481540476
silence,105,0.018666633481540476
mans,105,0.018666633481540476
year,105,0.018666633481540476
colonel,104,0.018488856019811522
straight,104,0.018488856019811522
dress,104,0.018488856019811522
smolensk,103,0.01831107855808256
rostopchin,103,0.01831107855808256
captain,103,0.01831107855808256
mamma,103,0.01831107855808256
shouting,103,0.01831107855808256
remembered,103,0.01831107855808256
considered,103,0.01831107855808256
guns,102,0.018133301096353607
tomorrow,102,0.018133301096353607
ought,101,0.01795552363462465
aim,101,0.01795552363462465
legs,101,0.01795552363462465
country,101,0.01795552363462465
fathers,101,0.01795552363462465
child,101,0.01795552363462465
decided,101,0.01795552363462465
galloped,100,0.017777746172895695
business,100,0.017777746172895695
napoleons,100,0.017777746172895695
run,100,0.017777746172895695
however,100,0.017777746172895695
body,100,0.017777746172895695
wait,100,0.017777746172895695
thin,100,0.017777746172895695
flank,99,0.017599968711166734
laws,99,0.017599968711166734
questions,99,0.017599968711166734
ten,99,0.017599968711166734
struck,99,0.017599968711166734
five,99,0.017599968711166734
carried,97,0.017244413787708822
fresh,97,0.017244413787708822
case,97,0.017244413787708822
return,97,0.017244413787708822
unable,97,0.017244413787708822
closed,97,0.017244413787708822
neither,97,0.017244413787708822
andrews,96,0.017066636325979868
changed,96,0.017066636325979868
balashev,95,0.016888858864250907
rapidly,95,0.016888858864250907
cry,95,0.016888858864250907
interrupted,95,0.016888858864250907
laughing,95,0.016888858864250907
frenchman,95,0.016888858864250907
meaning,95,0.016888858864250907
upon,95,0.016888858864250907
talked,95,0.016888858864250907
uniform,95,0.016888858864250907
german,94,0.016711081402521952
blue,94,0.016711081402521952
meeting,94,0.016711081402521952
guards,94,0.016711081402521952
wrote,94,0.016711081402521952
sister,94,0.016711081402521952
arrived,93,0.016533303940792995
live,93,0.016533303940792995
opinion,93,0.016533303940792995
remarked,92,0.016355526479064037
expected,92,0.016355526479064037
sight,92,0.016355526479064037
berg,91,0.01617774901733508
occupied,91,0.01617774901733508
corner,91,0.01617774901733508
duty,91,0.01617774901733508
